"",Sun,12/01/2013,Mon,12/02/2013,Tue,12/03/2013,Wed,12/04/2013,Thu,12/05/2013,Fri,12/06/2013,,Sat,12/07/2013,
"",ROAD,S N,ROAD,S N,ROAD,S N,ROAD,S N,ROAD,S N,ROAD,S,N,ROAD,S,N
00:00,,,,,,,134,134,124,124,,,,,,
01:00,,,,,,,38,38,47,47,,,,,,
02:00,,,,,,,23,23,21,21,,,,,,
03:00,,,,,,,103,103,98,98,,,,,,
04:00,,,,,,,306,306,279,279,,,,,,
05:00,,,,,,,418,418,469,469,,,,,,
06:00,,,,,,,550,550,509,509,,,,,,
07:00,,,,,,,510,510,468,468,,,,,,
08:00,,,,,,,391,391,405,405,,,,,,
09:00,,,,,,,360,360,297,297,,,,,,
10:00,,,,,,,448,448,314,314,,,,,,
11:00,,,,,,,517,517,437,437,,,,,,
12:00,,,,,,,566,566,495,495,,,,,,
13:00,,,,,,,606,606,622,622,,,,,,
14:00,,,,,,,580,580,571,571,,,,,,
15:00,,,,,,,648,648,530,530,,,,,,
16:00,,,,,,,590,590,513,513,,,,,,
17:00,,,,,,,492,492,498,498,,,,,,
18:00,,,,,,,459,459,545,545,,,,,,
19:00,,,,,,,389,389,493,493,,,,,,
20:00,,,,,,,324,324,448,448,,,,,,
21:00,,,,,,,285,285,387,387,,,,,,
22:00,,,,,,,264,264,353,353,,,,,,
23:00,,,,,,,227,227,315,315,,,,,,
Volume,,,,,,,"9,228","9,228","9,238","9,238",,,,,,
AM Peak Vol,,,,,,,573,573,517,517,,,,,,
AM Peak Fct,,,,,,,0.97,0.97,0.97,0.97,,,,,,
AM Peak Hr,,,,,,,6:15,6:15,5:30,5:30,,,,,,
PM Peak Vol,,,,,,,649,649,643,643,,,,,,
PM Peak Fct,,,,,,,0.89,0.89,0.92,0.92,,,,,,
PM Peak Hr,,,,,,,15:30,15:30,13:15,13:15,,,,,,
Seasonal Fct,,,,,,,1.047,1.047,1.047,1.047,,,,,,
Daily Fct,,,,,,,0.881,0.881,0.865,0.865,,,,,,
Axle Fct,,,,,,,0.488,0.488,0.488,0.488,,,,,,
Pulse Fct,,,,,,,2.000,2.000,2.000,2.000,,,,,,
