"",Sun,11/03/2013,Mon,11/04/2013,Tue,11/05/2013,Wed,11/06/2013,Thu,11/07/2013,Fri,11/08/2013,,Sat,11/09/2013,
"",ROAD,S N,ROAD,S N,ROAD,S N,ROAD,S N,ROAD,S N,ROAD,S,N,ROAD,S,N
00:00,,,,,,,127,127,146,146,,,,,,
01:00,,,,,,,69,69,94,94,,,,,,
02:00,,,,,,,34,34,28,28,,,,,,
03:00,,,,,,,30,30,26,26,,,,,,
04:00,,,,,,,35,35,29,29,,,,,,
05:00,,,,,,,80,80,91,91,,,,,,
06:00,,,,,,,153,153,172,172,,,,,,
07:00,,,,,,,250,250,238,238,,,,,,
08:00,,,,,,,197,197,237,237,,,,,,
09:00,,,,,,,212,212,213,213,,,,,,
10:00,,,,,,,235,235,222,222,,,,,,
11:00,,,,,,,269,269,211,211,,,,,,
12:00,,,,,,,256,256,228,228,,,,,,
13:00,,,,,,,281,281,279,279,,,,,,
14:00,,,,,,,344,344,321,321,,,,,,
15:00,,,,,,,342,342,366,366,,,,,,
16:00,,,,,,,321,321,318,318,,,,,,
17:00,,,,,,,324,324,300,300,,,,,,
18:00,,,,,,,230,230,244,244,,,,,,
19:00,,,,,,,203,203,193,193,,,,,,
20:00,,,,,,,146,146,159,159,,,,,,
21:00,,,,,,,185,185,164,164,,,,,,
22:00,,,,,,,174,174,176,176,,,,,,
23:00,,,,,,,228,228,169,169,,,,,,
Volume,,,,,,,"4,725","4,725","4,624","4,624",,,,,,
AM Peak Vol,,,,,,,269,269,260,260,,,,,,
AM Peak Fct,,,,,,,0.91,0.91,0.84,0.84,,,,,,
AM Peak Hr,,,,,,,11:00,11:00,8:15,8:15,,,,,,
PM Peak Vol,,,,,,,358,358,378,378,,,,,,
PM Peak Fct,,,,,,,0.86,0.86,0.90,0.90,,,,,,
PM Peak Hr,,,,,,,15:15,15:15,15:15,15:15,,,,,,
Seasonal Fct,,,,,,,0.998,0.998,0.998,0.998,,,,,,
Daily Fct,,,,,,,0.868,0.868,1.035,1.035,,,,,,
Axle Fct,,,,,,,0.494,0.494,0.494,0.494,,,,,,
Pulse Fct,,,,,,,2.000,2.000,2.000,2.000,,,,,,
