"",Sun,11/03/2013,Mon,11/04/2013,Tue,11/05/2013,Wed,11/06/2013,Thu,11/07/2013,Fri,11/08/2013,,Sat,11/09/2013,
"",ROAD,S N,ROAD,S N,ROAD,S N,ROAD,S N,ROAD,S N,ROAD,S,N,ROAD,S,N
00:00,,,,,,,184,184,222,222,,,,,,
01:00,,,,,,,125,125,124,124,,,,,,
02:00,,,,,,,56,56,75,75,,,,,,
03:00,,,,,,,52,52,72,72,,,,,,
04:00,,,,,,,93,93,109,109,,,,,,
05:00,,,,,,,229,229,259,259,,,,,,
06:00,,,,,,,896,896,907,907,,,,,,
07:00,,,,,,,"1,404","1,404","1,366","1,366",,,,,,
08:00,,,,,,,"1,306","1,306","1,172","1,172",,,,,,
09:00,,,,,,,"1,157","1,157","1,076","1,076",,,,,,
10:00,,,,,,,749,749,732,732,,,,,,
11:00,,,,,,,538,538,523,523,,,,,,
12:00,,,,,,,439,439,473,473,,,,,,
13:00,,,,,,,464,464,467,467,,,,,,
14:00,,,,,,,502,502,541,541,,,,,,
15:00,,,,,,,520,520,548,548,,,,,,
16:00,,,,,,,755,755,697,697,,,,,,
17:00,,,,,,,765,765,820,820,,,,,,
18:00,,,,,,,871,871,929,929,,,,,,
19:00,,,,,,,805,805,859,859,,,,,,
20:00,,,,,,,558,558,518,518,,,,,,
21:00,,,,,,,414,414,434,434,,,,,,
22:00,,,,,,,435,435,423,423,,,,,,
23:00,,,,,,,337,337,330,330,,,,,,
Volume,,,,,,,"13,654","13,654","13,676","13,676",,,,,,
AM Peak Vol,,,,,,,"1,404","1,404","1,366","1,366",,,,,,
AM Peak Fct,,,,,,,0.97,0.97,0.95,0.95,,,,,,
AM Peak Hr,,,,,,,7:00,7:00,7:00,7:00,,,,,,
PM Peak Vol,,,,,,,886,886,954,954,,,,,,
PM Peak Fct,,,,,,,0.89,0.89,0.91,0.91,,,,,,
PM Peak Hr,,,,,,,18:30,18:30,18:15,18:15,,,,,,
Seasonal Fct,,,,,,,0.998,0.998,0.998,0.998,,,,,,
Daily Fct,,,,,,,0.868,0.868,1.035,1.035,,,,,,
Axle Fct,,,,,,,0.494,0.494,0.494,0.494,,,,,,
Pulse Fct,,,,,,,2.000,2.000,2.000,2.000,,,,,,
