"",Sun,11/03/2013,Mon,11/04/2013,Tue,11/05/2013,Wed,11/06/2013,Thu,11/07/2013,Fri,11/08/2013,,Sat,11/09/2013,
"",ROAD,W E,ROAD,W E,ROAD,W E,ROAD,W E,ROAD,W E,ROAD,W,E,ROAD,W,E
00:00,,,,,,,148,148,154,154,,,,,,
01:00,,,,,,,72,72,80,80,,,,,,
02:00,,,,,,,44,44,62,62,,,,,,
03:00,,,,,,,39,39,48,48,,,,,,
04:00,,,,,,,52,52,49,49,,,,,,
05:00,,,,,,,137,137,135,135,,,,,,
06:00,,,,,,,401,401,378,378,,,,,,
07:00,,,,,,,822,822,851,851,,,,,,
08:00,,,,,,,"1,116","1,116","1,132","1,132",,,,,,
09:00,,,,,,,842,842,789,789,,,,,,
10:00,,,,,,,727,727,679,679,,,,,,
11:00,,,,,,,562,562,576,576,,,,,,
12:00,,,,,,,526,526,521,521,,,,,,
13:00,,,,,,,526,526,552,552,,,,,,
14:00,,,,,,,512,512,539,539,,,,,,
15:00,,,,,,,604,604,578,578,,,,,,
16:00,,,,,,,683,683,711,711,,,,,,
17:00,,,,,,,873,873,816,816,,,,,,
18:00,,,,,,,936,936,810,810,,,,,,
19:00,,,,,,,791,791,632,632,,,,,,
20:00,,,,,,,480,480,403,403,,,,,,
21:00,,,,,,,312,312,303,303,,,,,,
22:00,,,,,,,301,301,277,277,,,,,,
23:00,,,,,,,225,225,235,235,,,,,,
Volume,,,,,,,"11,731","11,731","11,310","11,310",,,,,,
AM Peak Vol,,,,,,,"1,116","1,116","1,174","1,174",,,,,,
AM Peak Fct,,,,,,,0.82,0.82,0.98,0.98,,,,,,
AM Peak Hr,,,,,,,8:00,8:00,7:45,7:45,,,,,,
PM Peak Vol,,,,,,,952,952,845,845,,,,,,
PM Peak Fct,,,,,,,0.93,0.93,0.96,0.96,,,,,,
PM Peak Hr,,,,,,,17:45,17:45,17:15,17:15,,,,,,
Seasonal Fct,,,,,,,0.998,0.998,0.998,0.998,,,,,,
Daily Fct,,,,,,,0.868,0.868,1.035,1.035,,,,,,
Axle Fct,,,,,,,0.494,0.494,0.494,0.494,,,,,,
Pulse Fct,,,,,,,2.000,2.000,2.000,2.000,,,,,,
