"",Sun,11/03/2013,,Mon,11/04/2013,Tue,11/05/2013,,Wed,11/06/2013,Thu,11/07/2013,Fri,11/08/2013,,Sat,11/09/2013,
"",ROAD,N,S,ROAD,N S,ROAD,N,S,ROAD,N S,ROAD,N S,ROAD,N,S,ROAD,N,S
00:00,,,,,,,,,138,138,183,183,,,,,,
01:00,,,,,,,,,82,82,92,92,,,,,,
02:00,,,,,,,,,45,45,32,32,,,,,,
03:00,,,,,,,,,39,39,51,51,,,,,,
04:00,,,,,,,,,43,43,28,28,,,,,,
05:00,,,,,,,,,41,41,56,56,,,,,,
06:00,,,,,,,,,91,91,106,106,,,,,,
07:00,,,,,,,,,222,222,197,197,,,,,,
08:00,,,,,,,,,348,348,337,337,,,,,,
09:00,,,,,,,,,365,365,360,360,,,,,,
10:00,,,,,,,,,271,271,284,284,,,,,,
11:00,,,,,,,,,260,260,267,267,,,,,,
12:00,,,,,,,,,231,231,274,274,,,,,,
13:00,,,,,,,,,286,286,305,305,,,,,,
14:00,,,,,,,,,340,340,314,314,,,,,,
15:00,,,,,,,,,332,332,337,337,,,,,,
16:00,,,,,,,,,525,525,498,498,,,,,,
17:00,,,,,,,,,614,614,581,581,,,,,,
18:00,,,,,,,,,558,558,544,544,,,,,,
19:00,,,,,,,,,477,477,446,446,,,,,,
20:00,,,,,,,,,353,353,341,341,,,,,,
21:00,,,,,,,,,240,240,248,248,,,,,,
22:00,,,,,,,,,208,208,203,203,,,,,,
23:00,,,,,,,,,190,190,179,179,,,,,,
Volume,,,,,,,,,"6,299","6,299","6,263","6,263",,,,,,
AM Peak Vol,,,,,,,,,371,371,366,366,,,,,,
AM Peak Fct,,,,,,,,,0.94,0.94,0.93,0.93,,,,,,
AM Peak Hr,,,,,,,,,8:45,8:45,8:30,8:30,,,,,,
PM Peak Vol,,,,,,,,,630,630,585,585,,,,,,
PM Peak Fct,,,,,,,,,0.89,0.89,0.88,0.88,,,,,,
PM Peak Hr,,,,,,,,,17:15,17:15,16:45,16:45,,,,,,
Seasonal Fct,,,,,,,,,0.998,0.998,0.998,0.998,,,,,,
Daily Fct,,,,,,,,,0.868,0.868,1.035,1.035,,,,,,
Axle Fct,,,,,,,,,0.494,0.494,0.494,0.494,,,,,,
Pulse Fct,,,,,,,,,2.000,2.000,2.000,2.000,,,,,,
